start,type,end,properties
evidence:3f5add5310b0cd7713c0fe63,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:9176baab83854c3967972695,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:9b5e3631a95415faf81623cd,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:91929a2cd55df0d7f637a30e,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:fb5f390ca3763c14a67fd40d,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:be444a6cc3cc36d89d7c5ae4,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:d484111bf058fbf141a0cfc6,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:891d02900ea994cd189c39a0,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:a6ea914a316431d5d5cfc0c6,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:9352316be77326b4af7378ea,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:0a81d4141a78157d7e657ea5,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:77a589e49408aa11b9d414eb,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:04a75471a382b0a74311e517,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:eb5813e85c9a843807e943fd,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:31a20e151a95a40bafa70f49,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:69fd7abd7adb4d9b11b5b438,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:4e4b99aa971a8dd722b2a70d,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:0bbdb9cf8719038b768adbc5,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:6002d2fe706ae646342b85a4,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:139dcff6902911616d8b04d0,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
